year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,PB,set_number
2018.0,spring,LCS_a,3,FOX.A,OPT.A,FOX.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510013?gameHash=c879dbad17ac75a7,https://www.youtube.com/watch?v=s9MPXBJdyR4#t=1m26s,https://www.youtube.com/watch?v=s9MPXBJdyR4,1.0
2018.0,spring,LCS_a,3,TSM.A,100.A,TSM.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520012?gameHash=e1bc3bdc389bf863,https://www.youtube.com/watch?v=adndsF72ZyI#t=1m10s,https://www.youtube.com/watch?v=adndsF72ZyI,1.0
2018.0,spring,LCS_a,3,GG.A,TL.A,GG.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510014?gameHash=b75ba8427de010cf,https://www.youtube.com/watch?v=QrvgIMRwohY#t=1m25s,https://www.youtube.com/watch?v=QrvgIMRwohY,1.0
2018.0,spring,LCS_a,3,CG.A,C9.A,CG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510015?gameHash=0dd2c0c6697cdb0a,https://www.youtube.com/watch?v=dEgUMT6eLRo#t=1m9s,https://www.youtube.com/watch?v=dEgUMT6eLRo,1.0
2018.0,spring,LCS_a,3,CLG.A,FLY.A,CLG.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510020?gameHash=06f36b551491f58a,https://www.youtube.com/watch?v=IU29d7LwbBg#t=1m5s,https://www.youtube.com/watch?v=IU29d7LwbBg,1.0
2018.0,spring,LCS_a,3,CLG.A,FOX.A,FOX.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520027?gameHash=73f21aeab0ac4143,https://www.youtube.com/watch?v=IxQjlD_l36Q#t=12m,https://www.youtube.com/watch?v=IxQjlD_l36Q#t=7m,1.0
2018.0,spring,LCS_a,3,C9.A,OPT.A,C9.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520032?gameHash=0dedfeda490f6533,https://www.youtube.com/watch?v=C8O6ZnNUgQE#t=9m15s,https://www.youtube.com/watch?v=C8O6ZnNUgQE#t=3m30s,1.0
2018.0,spring,LCS_a,3,CG.A,100.A,CG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520035?gameHash=9426ff178b4c9c15,https://www.youtube.com/watch?v=oLO9TJZR7bg#t=8m,https://www.youtube.com/watch?v=oLO9TJZR7bg#t=3m,1.0
2018.0,spring,LCS_a,3,FLY.A,TL.A,FLY.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520038?gameHash=634e8ab081896eaa,https://www.youtube.com/watch?v=5TgRCEV_92I#t=8m20s,https://www.youtube.com/watch?v=5TgRCEV_92I#t=2m30s,1.0
2018.0,spring,LCS_a,3,TSM.A,GG.A,TSM.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520040?gameHash=49e9ef9bc4e28aa4,https://www.youtube.com/watch?v=4dizG9MRdco&t=8m50s,https://www.youtube.com/watch?v=4dizG9MRdco&t=1m43s,1.0
2018.0,spring,LCS_a,4,FLY.A,C9.A,FLY.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/520120?gameHash=03365384bdce5e2e,https://www.youtube.com/watch?v=Xyak_KrKTRk#t=1m15s,https://www.youtube.com/watch?v=Xyak_KrKTRk,1.0
2018.0,spring,LCS_a,4,GG.A,100.A,GG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510117?gameHash=7708d61cf27baac0,https://www.youtube.com/watch?v=83ZiLtnRevE#t=1m7s,https://www.youtube.com/watch?v=83ZiLtnRevE,1.0
2018.0,spring,LCS_a,4,TSM.A,CLG.A,TSM.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/510122?gameHash=152edad1be06ab7a,https://www.youtube.com/watch?v=LfEyW3NRG64#t=1m4s,https://www.youtube.com/watch?v=LfEyW3NRG64,1.0
