year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,HL,PB,set_number
2019.0,summer,TPL_a,1,FB.A,SUP.A,SUP.A,FB.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960539?gameHash=3346fff01aeb00a4&tab=overview,https://youtu.be/6DiB51jE7a8?t=1,https://www.youtube.com/watch?v=V1fDMJ-L87A,,1.0
2019.0,summer,TPL_a,1,BJK.A,BS.A,BJK.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960548?gameHash=175216e97ab74dea&tab=overview,https://youtu.be/-GkK6yk9nqA?t=444,https://www.youtube.com/watch?v=8wxJM9ytgLk,https://youtu.be/-GkK6yk9nqA?t=1,1.0
2019.0,summer,TPL_a,1,DP.A,GAL.A,DP.A,GAL.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960552?gameHash=ff63de4c902069db&tab=overview,https://youtu.be/31iHH-7e0Iw?t=374,https://www.youtube.com/watch?v=KedcrOkJ7Lo,https://youtu.be/31iHH-7e0Iw?t=1,1.0
2019.0,summer,TPL_a,1,GS.A,IWC.A,GS.A,IWC.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960555?gameHash=db55f4aff3f035bb&tab=overview,https://youtu.be/xzPnC-NO7ok?t=537,https://www.youtube.com/watch?v=uDIHzOODS9s,https://youtu.be/xzPnC-NO7ok?t=1,1.0
2019.0,summer,TPL_a,1,AUR.A,RY.A,RY.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960569?gameHash=199cf7f6a0af4b56&tab=overview,https://youtu.be/uAcv89LBTGo?t=388,https://www.youtube.com/watch?v=jRPX6pYqbbk,https://youtu.be/uAcv89LBTGo?t=1,1.0
2019.0,summer,TPL_a,1,GAL.A,BJK.A,BJK.A,GAL.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960593?gameHash=ebfb7609d2312201&tab=overview,https://youtu.be/OmYz-GF2RfA?t=424,https://www.youtube.com/watch?v=fo0cTRD_ybw,https://youtu.be/OmYz-GF2RfA?t=1,1.0
2019.0,summer,TPL_a,1,BS.A,FB.A,FB.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960597?gameHash=cd93c522457682e2&tab=overview,https://youtu.be/vyqzqzq6Gl8?t=461,https://www.youtube.com/watch?v=n9A5TBqPiXo,https://youtu.be/vyqzqzq6Gl8?t=1,1.0
2019.0,summer,TPL_a,1,RY.A,SUP.A,SUP.A,RY.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960602?gameHash=aebc3eea28866f65&tab=overview,https://youtu.be/5zIg9cz10rs?t=434,https://www.youtube.com/watch?v=KybU95WB3Q0,https://youtu.be/5zIg9cz10rs?t=1,1.0
2019.0,summer,TPL_a,1,IWC.A,AUR.A,IWC.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970653?gameHash=4f5f76e6ed434895&tab=overview,https://youtu.be/F_kzM6bRONQ?t=512,https://www.youtube.com/watch?v=Tkqth5xEguA,https://youtu.be/F_kzM6bRONQ?t=1,1.0
2019.0,summer,TPL_a,1,GS.A,DP.A,GS.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970655?gameHash=4edd8ba28e5d929b&tab=overview,https://youtu.be/3dKseNUhCmM?t=444,https://www.youtube.com/watch?v=LKZRHqCu53U,https://youtu.be/3dKseNUhCmM?t=1,1.0
2019.0,summer,TPL_a,1,FB.A,RY.A,FB.A,RY.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970682?gameHash=6ba540664938123b&tab=overview,https://youtu.be/2GCGAdZlqLk?t=390,https://www.youtube.com/watch?v=qjcqMRyreWs,https://youtu.be/2GCGAdZlqLk?t=1,1.0
2019.0,summer,TPL_a,1,SUP.A,IWC.A,SUP.A,IWC.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960658?gameHash=e38672f3358de3a0&tab=overview,https://youtu.be/lbh4Onvj4ZE?t=435,https://www.youtube.com/watch?v=7IM206ODrlE,https://youtu.be/lbh4Onvj4ZE?t=1,1.0
2019.0,summer,TPL_a,1,BJK.A,GS.A,GS.A,BJK.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960662?gameHash=57a8a2d0d81271ed&tab=overview,https://youtu.be/9G5E7new-YY?t=356,https://www.youtube.com/watch?v=TzA1KDDZvBY,https://youtu.be/9G5E7new-YY?t=1,1.0
2019.0,summer,TPL_a,1,AUR.A,DP.A,AUR.A,DP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960667?gameHash=75fad67de593841d&tab=overview,https://youtu.be/LUH9CrpF3G8?t=385,https://www.youtube.com/watch?v=zE_ux5tIsjQ,https://youtu.be/LUH9CrpF3G8?t=1,1.0
2019.0,summer,TPL_a,1,BS.A,GAL.A,BS.A,GAL.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960672?gameHash=a8df3832460e415d&tab=overview,https://youtu.be/LvxLCPOZfzQ?t=443,https://www.youtube.com/watch?v=if_qTb9HQDQ,https://youtu.be/LvxLCPOZfzQ?t=1,1.0
2019.0,summer,TPL_a,1,AUR.A,BJK.A,,,,,,,1.0
2019.0,summer,TPL_a,1,DP.A,SUP.A,DP.A,SUP.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960705?gameHash=1267f79c9634ed79&tab=overview,https://youtu.be/L777z-GeklY?t=361,https://www.youtube.com/watch?v=hWfb_b9ta68,https://youtu.be/L777z-GeklY?t=1,1.0
2019.0,summer,TPL_a,1,GS.A,BS.A,GS.A,BS.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960728?gameHash=0bff3ba2a692e149&tab=overview,https://youtu.be/xU7qAAfaSuo?t=457,https://www.youtube.com/watch?v=vu917iQYOGI,https://youtu.be/xU7qAAfaSuo?t=1,1.0
2019.0,summer,TPL_a,1,IWC.A,RY.A,IWC.A,RY.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/960739?gameHash=acedb99825aaef10&tab=overview,https://youtu.be/v4Wjof2PZtA?t=493,https://www.youtube.com/watch?v=g4j6PCyrX-U,https://youtu.be/v4Wjof2PZtA?t=1,1.0
