year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,MVP,PB,set_number
2020.0,spring,PCS,2,HKA,RSG,HKA,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323597?gameHash=01d5325deb5ed487,https://www.youtube.com/watch?v=oQW0duEnRSo&t=1h58m48s,JimieN,https://www.youtube.com/watch?v=oQW0duEnRSo&t=1h51m29s,1.0
2020.0,spring,PCS,2,ALF,ahq,ahq,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323620?gameHash=f14d5a6974b81745,https://www.youtube.com/watch?v=oQW0duEnRSo&t=3h10m17s,Uniboy,https://www.youtube.com/watch?v=oQW0duEnRSo&t=3h03m25s,1.0
2020.0,spring,PCS,2,TLN,HKA,HKA,TLN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323632?gameHash=e491acd66f42a9f9,https://www.youtube.com/watch?v=oQW0duEnRSo&t=4h21m42s,Candy,https://www.youtube.com/watch?v=oQW0duEnRSo&t=4h13m41s,1.0
2020.0,spring,PCS,2,BJD,LYB,LYB,BJD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323668?gameHash=387614f0a7756784,https://www.youtube.com/watch?v=oQW0duEnRSo&t=5h30m40s,Kurd,https://www.youtube.com/watch?v=oQW0duEnRSo&t=5h23m28s,1.0
2020.0,spring,PCS,2,ahq,MCX,MCX,ahq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323686?gameHash=f7ec14e4bf77e84b,https://www.youtube.com/watch?v=oQW0duEnRSo&t=6h41m24s,Kongyue,https://www.youtube.com/watch?v=oQW0duEnRSo&t=6h35m44s,1.0
2020.0,spring,PCS,2,ALF,JT,JT,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334296?gameHash=fb864ecee83b0387,https://www.youtube.com/watch?v=y64S5lATf30&t=44m29s,Lilv,https://www.youtube.com/watch?v=y64S5lATf30&t=37m36s,1.0
2020.0,spring,PCS,2,NOV,MCX,MCX,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334346?gameHash=0752e2e6c27ebab2,https://www.youtube.com/watch?v=y64S5lATf30&t=1h52m49s,PK,https://www.youtube.com/watch?v=y64S5lATf30&t=1h46m03s,1.0
2020.0,spring,PCS,2,RSG,JT,JT,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334384?gameHash=a951c7a6f8e636cf,https://www.youtube.com/watch?v=y64S5lATf30&t=2h54m54s,Hana,https://www.youtube.com/watch?v=y64S5lATf30&t=2h47m04s,1.0
2020.0,spring,PCS,2,MCX,LYB,LYB,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334407?gameHash=97a67bba9ffa4152,https://www.youtube.com/watch?v=lHJ-GzBa1n8&t=8m18s,Bruce,https://www.youtube.com/watch?v=lHJ-GzBa1n8,1.0
2020.0,spring,PCS,2,BJD,HKA,HKA,BJD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334435?gameHash=f0d0e7f76fd34238,https://www.youtube.com/watch?v=AhxBR-ZhEjE&t=8m16s,Maoan,https://www.youtube.com/watch?v=AhxBR-ZhEjE,1.0
