year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,HL,set_number
2019.0,spring,CBLOL,9,ITZ,FLA,ITZ,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1072037?gameHash=fbb191295a7c800e&tab=overview,https://www.youtube.com/watch?v=Pvp-NihjBeU&t=52s,https://www.youtube.com/watch?v=Pvp-NihjBeU&t=496s,https://youtu.be/Pvp-NihjBeU?t=2743,Goku,https://www.youtube.com/watch?v=nfqpgBsYAJQ,1.0
2019.0,spring,CBLOL,9,KBM,RDP,KBM,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1072083?gameHash=ff5a2c766a69b763&tab=overview,https://www.youtube.com/watch?v=u7zDMqrWngI&t=100s,https://www.youtube.com/watch?v=u7zDMqrWngI&t=542s,https://youtu.be/u7zDMqrWngI?t=2992,Nyu,https://www.youtube.com/watch?v=0-QAFLMlAYo,1.0
2019.0,spring,CBLOL,9,PRG,VK,PRG,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1072108?gameHash=412920c9c25db5b3&tab=overview,https://www.youtube.com/watch?v=PiBDoUgV9Pk&t=39s,https://www.youtube.com/watch?v=PiBDoUgV9Pk&t=475s,https://youtu.be/PiBDoUgV9Pk?t=2895,micaO,https://www.youtube.com/watch?v=0IJQWKIQqiM,1.0
2019.0,spring,CBLOL,10,KBM,ITZ,KBM,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1074078?gameHash=b5ff2bcd2aee6deb&tab=overview,https://www.youtube.com/watch?v=_p8CUx673Jo&t=54s,https://www.youtube.com/watch?v=_p8CUx673Jo&t=504s,,Envy,https://www.youtube.com/watch?v=bu6gkiTtV_4,1.0
2019.0,spring,CBLOL,10,RDP,UP,RDP,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1084393?gameHash=07002d9b285cdb04&tab=overview,https://www.youtube.com/watch?v=2ibs7mCDpsk&t=47s,https://www.youtube.com/watch?v=2ibs7mCDpsk&t=447s,,Alternative,https://www.youtube.com/watch?v=WNqRslNjNwo,1.0
2019.0,spring,CBLOL,10,CNB,PRG,CNB,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1084399?gameHash=d684594e39db48f1&tab=overview,https://www.youtube.com/watch?v=NW0R_hR44i4&t=47s,https://www.youtube.com/watch?v=NW0R_hR44i4&t=428s,,Hawk,https://www.youtube.com/watch?v=904nEuOLiok,1.0
2019.0,spring,CBLOL,10,VK,FLA,VK,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1084423?gameHash=393b718c6e3b64a7&tab=overview,https://www.youtube.com/watch?v=w6X96moIo1w&t=51s,https://www.youtube.com/watch?v=w6X96moIo1w&t=532s,,Luci,https://www.youtube.com/watch?v=9d5hI1ZqEEA,1.0
2019.0,spring,CBLOL,10,PRG,KBM,PRG,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1074415?gameHash=abcae55ae00b343d&tab=overview,https://www.youtube.com/watch?v=EWc5PLPHbYs&t=49s,https://www.youtube.com/watch?v=EWc5PLPHbYs&t=422s,,Dynquedo,https://www.youtube.com/watch?v=cU8Gnj5Np_M,1.0
2019.0,spring,CBLOL,10,RDP,VK,RDP,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1074436?gameHash=0c46664b0fdb4888&tab=overview,https://www.youtube.com/watch?v=ae3gBx5Zy8A&t=45s,https://www.youtube.com/watch?v=ae3gBx5Zy8A&t=470s,,Ceos,https://www.youtube.com/watch?v=Pf8wA3_Wc_w,1.0
2019.0,spring,CBLOL,10,FLA,CNB,FLA,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1074451?gameHash=020f4ea5b5410d15&tab=overview,https://www.youtube.com/watch?v=e7m-yuLTTHs&t=44s,https://www.youtube.com/watch?v=e7m-yuLTTHs&t=448s,,brTT,https://www.youtube.com/watch?v=Q4r4wb67dvo,1.0
2019.0,spring,CBLOL,10,ITZ,UP,ITZ,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1074480?gameHash=14890761bd76143b&tab=overview,https://www.youtube.com/watch?v=79LNWzjW03Q&t=54s,https://www.youtube.com/watch?v=79LNWzjW03Q&t=511s,,Anyyy,https://www.youtube.com/watch?v=1fDOXjuKgb4,1.0
