match_id,set_number,set_match_id,league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,team_1,team_2,league_name,ckpm,game_length
6457,1,11034,16,2019,spring,2019-03-22,156,220,0,11,Crest Gaming Act,Burning Core,LJL,0.6806,1675.0
6458,1,11035,16,2019,spring,2019-03-22,156,228,0,11,Crest Gaming Act,AXIZ,LJL,0.8656,1525.0
6459,1,11036,16,2019,spring,2019-03-22,369,300,0,11,Unsold Stuff Gaming,Detonation FocusMe,LJL,0.4386,2052.0
6460,1,11037,16,2019,spring,2019-03-22,403,300,0,11,Sengoku Gaming,Detonation FocusMe,LJL,0.6814,1673.0
6461,1,11038,16,2019,spring,2019-03-22,403,369,0,11,Sengoku Gaming,Unsold Stuff Gaming,LJL,0.8973,3009.0
6462,1,11039,16,2019,summer,2019-06-15,228,403,0,1,AXIZ,Sengoku Gaming,LJL,0.5902,2135.0
6463,1,11040,16,2019,summer,2019-06-15,228,120,0,1,AXIZ,Rascal Jester,LJL,0.6432,1679.0
6464,1,11041,16,2019,summer,2019-06-15,141,120,0,1,V3 Esports,Rascal Jester,LJL,1.1269,1544.0
6465,1,11042,16,2019,summer,2019-06-15,141,403,0,1,V3 Esports,Sengoku Gaming,LJL,0.6211,1932.0
6466,1,11043,16,2019,summer,2019-06-15,300,220,0,1,Detonation FocusMe,Burning Core,LJL,0.8328,1513.0
6467,1,11044,16,2019,summer,2019-06-15,369,220,0,1,Unsold Stuff Gaming,Burning Core,LJL,0.5274,1934.0
6468,1,11045,16,2019,summer,2019-06-15,369,156,0,1,Unsold Stuff Gaming,Crest Gaming Act,LJL,0.6732,2050.0
6469,1,11046,16,2019,summer,2019-06-15,300,156,0,1,Detonation FocusMe,Crest Gaming Act,LJL,0.7851,2369.0
6470,1,11047,16,2019,summer,2019-06-23,369,228,0,2,Unsold Stuff Gaming,AXIZ,LJL,0.319,3009.0
6471,1,11048,16,2019,summer,2019-06-23,141,228,0,2,V3 Esports,AXIZ,LJL,0.6113,1865.0
6472,1,11049,16,2019,summer,2019-06-23,141,300,0,2,V3 Esports,Detonation FocusMe,LJL,0.8125,2437.0
6473,1,11050,16,2019,summer,2019-06-23,369,300,0,2,Unsold Stuff Gaming,Detonation FocusMe,LJL,0.7962,2110.0
6474,1,11051,16,2019,summer,2019-06-23,156,220,0,2,Crest Gaming Act,Burning Core,LJL,0.7816,2303.0
6475,1,11052,16,2019,summer,2019-06-23,156,403,0,2,Crest Gaming Act,Sengoku Gaming,LJL,0.4204,2712.0
6476,1,11053,16,2019,summer,2019-06-23,120,403,0,2,Rascal Jester,Sengoku Gaming,LJL,0.7203,2499.0
6477,1,11054,16,2019,summer,2019-06-23,120,220,0,2,Rascal Jester,Burning Core,LJL,1.1043,1630.0
